if_plate_id,position,sample,antibody,gene_names,locations
2,A6,1,HPA000609,EMD,"Nuclear membrane,Endoplasmic reticulum"
2,A6,2,HPA000609,EMD,"Nuclear membrane,Endoplasmic reticulum"
2,A7,1,HPA001136,NKRF,"Nucleoli,Endoplasmic reticulum"
2,A7,2,HPA001136,NKRF,"Nucleoli,Endoplasmic reticulum"
2,A8,1,HPA000898,HSPA9,Mitochondria
2,A8,2,HPA000898,HSPA9,Mitochondria
2,B4,1,HPA003583,DCAF11,Nucleoplasm
2,B4,2,HPA003583,DCAF11,Nucleoplasm
2,B7,1,HPA003618,ZDHHC15,"Cytoplasm,Nuclear speckles"
2,B7,2,HPA003618,ZDHHC15,"Cytoplasm,Nuclear speckles"
2,C1,1,HPA002643,CASP3,"Mitochondria,Nucleoplasm"
2,C1,2,HPA002643,CASP3,"Mitochondria,Nucleoplasm"
2,C2,2,HPA004816,GTF2E2,Nuclear speckles
2,C8,1,HPA001130,LGALS1,Cytoplasm
2,C8,2,HPA001130,LGALS1,Cytoplasm
2,D1,1,HPA005506,FRMD8,"Nucleus,Nucleoli,Cytoplasm"
2,D1,2,HPA005506,FRMD8,"Nucleus,Nucleoli,Cytoplasm"
2,D8,1,HPA004478,LIFR,"Golgi apparatus,Nuclear speckles"
2,D8,2,HPA004478,LIFR,"Golgi apparatus,Nuclear speckles"
2,D9,1,HPA004722,UCKL1,Endoplasmic reticulum
2,D9,2,HPA004722,UCKL1,Endoplasmic reticulum
2,E9,1,HPA003267,CD2AP,"Plasma membrane,Cytoplasm"
2,E9,2,HPA003267,CD2AP,"Plasma membrane,Cytoplasm"
2,F12,1,HPA001198,BTK,Vesicles
2,F12,2,HPA001198,BTK,Vesicles
2,F2,1,HPA002632,SND1,Cytoplasm
2,F2,2,HPA002632,SND1,Cytoplasm
2,F3,1,HPA002645,PDIA3,Endoplasmic reticulum
2,F3,2,HPA002645,PDIA3,Endoplasmic reticulum
2,F4,1,HPA003230,PDIA3,Endoplasmic reticulum
2,F4,2,HPA003230,PDIA3,Endoplasmic reticulum
2,F5,1,HPA002896,NDRG2,"Cytoplasm,Microtubule organizing center,Nucleoplasm"
2,F5,2,HPA002896,NDRG2,"Cytoplasm,Microtubule organizing center,Nucleoplasm"
2,H3,1,HPA003414,PITPNM2,Vesicles
2,H3,2,HPA003414,PITPNM2,Vesicles
3,A1,1,HPA000992,GOLGA5,Golgi apparatus
3,A1,2,HPA000992,GOLGA5,Golgi apparatus
3,A12,1,HPA004917,DIAPH3,"Nucleoli,Plasma membrane,Cytoplasm"
3,A12,2,HPA004917,DIAPH3,"Nucleoli,Plasma membrane,Cytoplasm"
3,A3,1,HPA002899,BEGAIN,"Cytoplasm,Golgi apparatus,Nucleoplasm"
3,A3,2,HPA002899,BEGAIN,"Cytoplasm,Golgi apparatus,Nucleoplasm"
3,A5,1,HPA000427,CSTF2,Nuclear bodies
3,A5,2,HPA000427,CSTF2,Nuclear bodies
3,A6,1,HPA000609,EMD,"Nuclear membrane,Endoplasmic reticulum"
3,A6,2,HPA000609,EMD,"Nuclear membrane,Endoplasmic reticulum"
3,A7,1,HPA001136,NKRF,"Nucleoli,Endoplasmic reticulum"
3,A7,2,HPA001136,NKRF,"Nucleoli,Endoplasmic reticulum"
3,A8,1,HPA000898,HSPA9,Mitochondria
3,A8,2,HPA000898,HSPA9,Mitochondria
3,A9,1,HPA001214,SNAP23,"Plasma membrane,Nucleoplasm"
3,A9,2,HPA001214,SNAP23,"Plasma membrane,Nucleoplasm"
3,B4,1,HPA003583,DCAF11,Nucleoplasm
3,B4,2,HPA003583,DCAF11,Nucleoplasm
3,C1,1,HPA002643,CASP3,"Mitochondria,Nucleoplasm"
3,C1,2,HPA002643,CASP3,"Mitochondria,Nucleoplasm"
3,C2,1,HPA004816,GTF2E2,"Cytoplasm,Nuclear speckles"
3,C2,2,HPA004816,GTF2E2,"Cytoplasm,Nuclear speckles"
3,C6,1,HPA001780,RPS6KA5,Nucleoplasm
3,C6,2,HPA001780,RPS6KA5,Nucleoplasm
3,C8,1,HPA001130,LGALS1,Cytoplasm
3,C8,2,HPA001130,LGALS1,Cytoplasm
3,D1,1,HPA005506,FRMD8,"Nucleus,Nucleoli,Cytoplasm"
3,D1,2,HPA005506,FRMD8,"Nucleus,Nucleoli,Cytoplasm"
3,D8,1,HPA004478,LIFR,"Golgi apparatus,Nuclear speckles"
3,D8,2,HPA004478,LIFR,"Golgi apparatus,Nuclear speckles"
3,D9,1,HPA004722,UCKL1,Endoplasmic reticulum
3,D9,2,HPA004722,UCKL1,Endoplasmic reticulum
3,E1,1,HPA002925,FLNA,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
3,E1,2,HPA002925,FLNA,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
3,E10,1,HPA003326,CD2AP,"Plasma membrane,Cytoplasm"
3,E10,2,HPA003326,CD2AP,"Plasma membrane,Cytoplasm"
3,F10,1,HPA003351,SH3KBP1,Cytoplasm
3,F10,2,HPA003351,SH3KBP1,Cytoplasm
3,F12,1,HPA001198,BTK,Vesicles
3,F12,2,HPA001198,BTK,Vesicles
3,F2,1,HPA002632,SND1,Cytoplasm
3,F2,2,HPA002632,SND1,Cytoplasm
3,F3,1,HPA002645,PDIA3,Endoplasmic reticulum
3,F3,2,HPA002645,PDIA3,Endoplasmic reticulum
3,F4,1,HPA003230,PDIA3,Endoplasmic reticulum
3,F4,2,HPA003230,PDIA3,Endoplasmic reticulum
3,F5,1,HPA002896,NDRG2,"Cytoplasm,Microtubule organizing center,Nucleoplasm"
3,F5,2,HPA002896,NDRG2,"Cytoplasm,Microtubule organizing center,Nucleoplasm"
3,F7,1,HPA000425,IDH3G,"Mitochondria,Nucleoplasm"
3,F7,2,HPA000425,IDH3G,"Mitochondria,Nucleoplasm"
3,F9,1,HPA002017,IDH3G,"Nucleoli,Mitochondria"
3,F9,2,HPA002017,IDH3G,"Nucleoli,Mitochondria"
3,G10,1,HPA003948,ITIH4,Vesicles
3,G10,2,HPA003948,ITIH4,Vesicles
3,G11,1,HPA003279,OPTN,Cytoplasm
3,G11,2,HPA003279,OPTN,Cytoplasm
3,G12,1,HPA003360,OPTN,Cytoplasm
3,G12,2,HPA003360,OPTN,Cytoplasm
3,G7,1,HPA001520,ATP5B,Mitochondria
3,G7,2,HPA001520,ATP5B,Mitochondria
3,G8,1,HPA001528,ATP5B,Mitochondria
3,G8,2,HPA001528,ATP5B,Mitochondria
3,H1,1,HPA001908,LAMC1,Endoplasmic reticulum
3,H1,2,HPA001908,LAMC1,Endoplasmic reticulum
3,H3,1,HPA003414,PITPNM2,Vesicles
3,H3,2,HPA003414,PITPNM2,Vesicles
3,H7,1,HPA002815,UQCRC1,Cytoplasm
3,H7,2,HPA002815,UQCRC1,Cytoplasm
3,H9,1,HPA004479,AFG3L2,Mitochondria
3,H9,2,HPA004479,AFG3L2,Mitochondria
4,A12,1,HPA005435,NUP62,Nuclear membrane
4,A12,2,HPA005435,NUP62,Nuclear membrane
4,A4,1,HPA003037,TOMM22,Mitochondria
4,A4,2,HPA003037,TOMM22,Mitochondria
4,A5,1,HPA005697,LDOC1L,"Cytoplasm,Nuclear speckles"
4,A5,2,HPA005697,LDOC1L,"Cytoplasm,Nuclear speckles"
4,B11,1,HPA003239,PCMT1,Cytoplasm
4,B11,2,HPA003239,PCMT1,Cytoplasm
4,B2,1,HPA003394,SPTB,Cytoplasm
4,B2,2,HPA003394,SPTB,Cytoplasm
4,B3,1,HPA005832,CCDC88C,"Nucleus,Nucleoli (Fibrillar center)"
4,B3,2,HPA005832,CCDC88C,"Nucleus,Nucleoli (Fibrillar center)"
4,B5,1,HPA005839,RASD2,"Plasma membrane,Cytoplasm"
4,B5,2,HPA005839,RASD2,"Plasma membrane,Cytoplasm"
4,C2,1,HPA003398,SPTB,"Cytoplasm,Golgi apparatus"
4,C2,2,HPA003398,SPTB,"Cytoplasm,Golgi apparatus"
4,C3,1,HPA005841,EIF2B2,"Cytoplasm,Nucleoplasm"
4,C3,2,HPA005841,EIF2B2,"Cytoplasm,Nucleoplasm"
4,C6,1,HPA000911,FGD1,"Plasma membrane,Cytoplasm"
4,C6,2,HPA000911,FGD1,"Plasma membrane,Cytoplasm"
4,D1,1,HPA002569,C14orf93,"Nucleus,Plasma membrane"
4,D1,2,HPA002569,C14orf93,"Nucleus,Plasma membrane"
4,D11,1,HPA005533,MEF2C,"Vesicles,Nucleoplasm"
4,D11,2,HPA005533,MEF2C,"Vesicles,Nucleoplasm"
4,D5,1,HPA006181,MRPL40,"Nucleoli,Mitochondria"
4,D5,2,HPA006181,MRPL40,"Nucleoli,Mitochondria"
4,D9,1,HPA005949,AKAP4,Cytoplasm
4,D9,2,HPA005949,AKAP4,Cytoplasm
4,E12,1,HPA005455,NR5A2,Nuclear speckles
4,E12,2,HPA005455,NR5A2,Nuclear speckles
4,E2,1,HPA004701,GSTZ1,Cytoplasm
4,E2,2,HPA004701,GSTZ1,Cytoplasm
4,E3,1,HPA006034,PPP2R5E,Cytoplasm
4,E3,2,HPA006034,PPP2R5E,Cytoplasm
4,E4,1,HPA005548,CECR5,Mitochondria
4,E4,2,HPA005548,CECR5,Mitochondria
4,E5,1,HPA006240,RBFOX2,Nucleoplasm
4,E5,2,HPA006240,RBFOX2,Nucleoplasm
4,E7,1,HPA003208,SAGE1,Nucleus
4,E7,2,HPA003208,SAGE1,Nucleus
4,F1,1,HPA002930,CGRRF1,"Vesicles,Nucleoplasm"
4,F1,2,HPA002930,CGRRF1,"Vesicles,Nucleoplasm"
4,F12,1,HPA005456,ARID1A,Nucleus
4,F12,2,HPA005456,ARID1A,Nucleus
4,F2,1,HPA005525,PRMT5,"Nucleus,Cytoplasm"
4,F2,2,HPA005525,PRMT5,"Nucleus,Cytoplasm"
4,F3,1,HPA006394,PPP1R13B,"Plasma membrane,Cytoplasm,Nucleoplasm"
4,F3,2,HPA006394,PPP1R13B,"Plasma membrane,Cytoplasm,Nucleoplasm"
4,F5,1,HPA006379,CDC42EP1,"Cytoplasm,Golgi apparatus,Cytoskeleton (Actin filaments)"
4,F5,2,HPA006379,CDC42EP1,"Cytoplasm,Golgi apparatus,Cytoskeleton (Actin filaments)"
4,F9,1,HPA006316,GPC3,Plasma membrane
4,F9,2,HPA006316,GPC3,Plasma membrane
4,G1,1,HPA003025,RBM25,Nuclear speckles
4,G1,2,HPA003025,RBM25,Nuclear speckles
4,G10,1,HPA003214,MEF2C,Nuclear speckles
4,G10,2,HPA003214,MEF2C,Nuclear speckles
4,G11,1,HPA004890,SUGP1,Nucleoplasm
4,G11,2,HPA004890,SUGP1,Nucleoplasm
4,G12,1,HPA005457,SEC31A,"Cytoplasm,Vesicles"
4,G12,2,HPA005457,SEC31A,"Cytoplasm,Vesicles"
4,G2,1,HPA005544,MTA1,"Cytoplasm,Nuclear bodies"
4,G2,2,HPA005544,MTA1,"Cytoplasm,Nuclear bodies"
4,G3,1,HPA006504,MIS18BP1,"Nucleoli,Cytoplasm"
4,G3,2,HPA006504,MIS18BP1,"Nucleoli,Cytoplasm"
4,G9,1,HPA006367,PCYT1B,Nucleoli (Fibrillar center)
4,G9,2,HPA006367,PCYT1B,Nucleoli (Fibrillar center)
4,H10,1,HPA003215,OGFOD1,"Nucleus,Cytoplasm"
4,H10,2,HPA003215,OGFOD1,"Nucleus,Cytoplasm"
4,H4,1,HPA005696,CHADL,Mitochondria
4,H4,2,HPA005696,CHADL,Mitochondria
4,H6,1,HPA003033,SAGE1,Nucleoplasm
4,H6,2,HPA003033,SAGE1,Nucleoplasm
4,H7,1,HPA003473,PAGE1,"Cytoplasm,Mitochondria,Nucleoli (Fibrillar center)"
4,H7,2,HPA003473,PAGE1,"Cytoplasm,Mitochondria,Nucleoli (Fibrillar center)"
4,H8,1,HPA005647,DIAPH2,"Nucleoli,Vesicles"
4,H8,2,HPA005647,DIAPH2,"Nucleoli,Vesicles"
5,A12,1,HPA005435,NUP62,"Nuclear membrane,Vesicles"
5,A12,2,HPA005435,NUP62,"Nuclear membrane,Vesicles"
5,A4,1,HPA003037,TOMM22,Mitochondria
5,A4,2,HPA003037,TOMM22,Mitochondria
5,A5,1,HPA005697,LDOC1L,"Cytoplasm,Nuclear bodies"
5,A5,2,HPA005697,LDOC1L,"Cytoplasm,Nuclear bodies"
5,A7,1,HPA003060,ASB9,"Cytoplasm,Nuclear bodies"
5,A7,2,HPA003060,ASB9,"Cytoplasm,Nuclear bodies"
5,B11,1,HPA003239,PCMT1,Cytoplasm
5,B11,2,HPA003239,PCMT1,Cytoplasm
5,B2,1,HPA003394,SPTB,Cytoplasm
5,B2,2,HPA003394,SPTB,Cytoplasm
5,B3,1,HPA005832,CCDC88C,"Nucleus,Nucleoli (Fibrillar center)"
5,B3,2,HPA005832,CCDC88C,"Nucleus,Nucleoli (Fibrillar center)"
5,B4,1,HPA003044,TST,Mitochondria
5,B4,2,HPA003044,TST,Mitochondria
5,C2,1,HPA003398,SPTB,"Cytoplasm,Golgi apparatus"
5,C2,2,HPA003398,SPTB,"Cytoplasm,Golgi apparatus"
5,C3,1,HPA005841,EIF2B2,"Cytoplasm,Nuclear bodies"
5,C3,2,HPA005841,EIF2B2,"Cytoplasm,Nuclear bodies"
5,C6,1,HPA000911,FGD1,"Plasma membrane,Cytoplasm"
5,C6,2,HPA000911,FGD1,"Plasma membrane,Cytoplasm"
5,D1,1,HPA002569,C14orf93,"Plasma membrane,Nucleoplasm"
5,D1,2,HPA002569,C14orf93,"Plasma membrane,Nucleoplasm"
5,D5,1,HPA006181,MRPL40,"Nucleoli,Mitochondria"
5,D5,2,HPA006181,MRPL40,"Nucleoli,Mitochondria"
5,D9,1,HPA005949,AKAP4,Nucleus
5,D9,2,HPA005949,AKAP4,Nucleus
5,E12,1,HPA005455,NR5A2,Nuclear speckles
5,E12,2,HPA005455,NR5A2,Nuclear speckles
5,E3,1,HPA006034,PPP2R5E,Cytoplasm
5,E3,2,HPA006034,PPP2R5E,Cytoplasm
5,E4,1,HPA005548,CECR5,Mitochondria
5,E4,2,HPA005548,CECR5,Mitochondria
5,E5,1,HPA006240,RBFOX2,"Cytoplasm,Nucleoplasm"
5,E5,2,HPA006240,RBFOX2,"Cytoplasm,Nucleoplasm"
5,E7,1,HPA003208,SAGE1,Nucleus
5,E7,2,HPA003208,SAGE1,Nucleus
5,F1,1,HPA002930,CGRRF1,Nucleoplasm
5,F1,2,HPA002930,CGRRF1,Nucleoplasm
5,F10,1,HPA003198,CCT2,Cytoplasm
5,F10,2,HPA003198,CCT2,Cytoplasm
5,F12,1,HPA005456,ARID1A,Nucleus
5,F12,2,HPA005456,ARID1A,Nucleus
5,F2,1,HPA005525,PRMT5,"Nucleus,Cytoplasm"
5,F2,2,HPA005525,PRMT5,"Nucleus,Cytoplasm"
5,F3,1,HPA006394,PPP1R13B,"Cytoplasm,Nucleoplasm"
5,F3,2,HPA006394,PPP1R13B,"Cytoplasm,Nucleoplasm"
5,F5,1,HPA006379,CDC42EP1,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
5,F5,2,HPA006379,CDC42EP1,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
5,G1,1,HPA003025,RBM25,Nuclear speckles
5,G1,2,HPA003025,RBM25,Nuclear speckles
5,G11,1,HPA004890,SUGP1,Nucleoplasm
5,G11,2,HPA004890,SUGP1,Nucleoplasm
5,G12,1,HPA005457,SEC31A,"Cytoplasm,Vesicles"
5,G12,2,HPA005457,SEC31A,"Cytoplasm,Vesicles"
5,G2,1,HPA005544,MTA1,"Vesicles,Nucleoplasm"
5,G2,2,HPA005544,MTA1,"Vesicles,Nucleoplasm"
5,G3,1,HPA006504,MIS18BP1,"Nucleoli,Cytoplasm"
5,G3,2,HPA006504,MIS18BP1,"Nucleoli,Cytoplasm"
5,H10,1,HPA003215,OGFOD1,"Nucleus,Cytoplasm"
5,H10,2,HPA003215,OGFOD1,"Nucleus,Cytoplasm"
5,H2,1,HPA005546,DLGAP5,"Cytoplasm,Microtubule organizing center"
5,H2,2,HPA005546,DLGAP5,"Cytoplasm,Microtubule organizing center"
5,H4,1,HPA005696,CHADL,Mitochondria
5,H4,2,HPA005696,CHADL,Mitochondria
5,H6,1,HPA003033,SAGE1,Nucleoplasm
5,H6,2,HPA003033,SAGE1,Nucleoplasm
5,H7,1,HPA003473,PAGE1,"Mitochondria,Nucleoli (Fibrillar center)"
5,H7,2,HPA003473,PAGE1,"Mitochondria,Nucleoli (Fibrillar center)"
5,H8,1,HPA005647,DIAPH2,"Mitochondria,Vesicles,Nucleoli (Fibrillar center)"
5,H8,2,HPA005647,DIAPH2,"Mitochondria,Vesicles,Nucleoli (Fibrillar center)"
6,A12,1,HPA005435,NUP62,Nuclear membrane
6,A12,2,HPA005435,NUP62,Nuclear membrane
6,A4,1,HPA003037,TOMM22,Mitochondria
6,A4,2,HPA003037,TOMM22,Mitochondria
6,A5,1,HPA005697,LDOC1L,Nucleoplasm
6,A5,2,HPA005697,LDOC1L,Nucleoplasm
6,A7,1,HPA003060,ASB9,"Cytoplasm,Nuclear bodies"
6,A7,2,HPA003060,ASB9,"Cytoplasm,Nuclear bodies"
6,B11,1,HPA003239,PCMT1,Cytoplasm
6,B11,2,HPA003239,PCMT1,Cytoplasm
6,B2,1,HPA003394,SPTB,Cytoplasm
6,B2,2,HPA003394,SPTB,Cytoplasm
6,B3,1,HPA005832,CCDC88C,"Nucleus,Nucleoli (Fibrillar center)"
6,B3,2,HPA005832,CCDC88C,"Nucleus,Nucleoli (Fibrillar center)"
6,B4,1,HPA003044,TST,Mitochondria
6,B4,2,HPA003044,TST,Mitochondria
6,C3,1,HPA005841,EIF2B2,"Cytoplasm,Nuclear bodies"
6,C3,2,HPA005841,EIF2B2,"Cytoplasm,Nuclear bodies"
6,D1,1,HPA002569,C14orf93,"Plasma membrane,Nucleoplasm"
6,D1,2,HPA002569,C14orf93,"Plasma membrane,Nucleoplasm"
6,D11,1,HPA005533,MEF2C,"Vesicles,Nucleoplasm"
6,D11,2,HPA005533,MEF2C,"Vesicles,Nucleoplasm"
6,D5,1,HPA006181,MRPL40,"Nucleoli,Mitochondria"
6,D5,2,HPA006181,MRPL40,"Nucleoli,Mitochondria"
6,D6,1,HPA001432,HSD17B10,"Nucleus,Nuclear membrane,Golgi apparatus"
6,D6,2,HPA001432,HSD17B10,"Nucleus,Nuclear membrane,Golgi apparatus"
6,D9,1,HPA005949,AKAP4,Nucleus
6,D9,2,HPA005949,AKAP4,Nucleus
6,E2,1,HPA004701,GSTZ1,"Cytoplasm,Nuclear bodies"
6,E2,2,HPA004701,GSTZ1,"Cytoplasm,Nuclear bodies"
6,E3,1,HPA006034,PPP2R5E,Cytoplasm
6,E3,2,HPA006034,PPP2R5E,Cytoplasm
6,E4,1,HPA005548,CECR5,Mitochondria
6,E4,2,HPA005548,CECR5,Mitochondria
6,E5,1,HPA006240,RBFOX2,Nucleoplasm
6,E5,2,HPA006240,RBFOX2,Nucleoplasm
6,E7,1,HPA003208,SAGE1,Nucleus
6,E7,2,HPA003208,SAGE1,Nucleus
6,F1,1,HPA002930,CGRRF1,Nucleoplasm
6,F1,2,HPA002930,CGRRF1,Nucleoplasm
6,F10,1,HPA003198,CCT2,Cytoplasm
6,F10,2,HPA003198,CCT2,Cytoplasm
6,F12,1,HPA005456,ARID1A,Nucleus
6,F12,2,HPA005456,ARID1A,Nucleus
6,F2,1,HPA005525,PRMT5,"Nucleus,Cytoplasm"
6,F2,2,HPA005525,PRMT5,"Nucleus,Cytoplasm"
6,F3,1,HPA006394,PPP1R13B,"Cytoplasm,Nucleoplasm"
6,F3,2,HPA006394,PPP1R13B,"Cytoplasm,Nucleoplasm"
6,F5,1,HPA006379,CDC42EP1,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
6,F5,2,HPA006379,CDC42EP1,"Plasma membrane,Cytoplasm,Cytoskeleton (Actin filaments)"
6,G1,1,HPA003025,RBM25,Nuclear speckles
6,G1,2,HPA003025,RBM25,Nuclear speckles
6,G10,1,HPA003214,MEF2C,"Cytoplasm,Nuclear speckles"
6,G10,2,HPA003214,MEF2C,"Cytoplasm,Nuclear speckles"
6,G11,1,HPA004890,SUGP1,Nucleoplasm
6,G11,2,HPA004890,SUGP1,Nucleoplasm
6,G12,1,HPA005457,SEC31A,"Cytoplasm,Vesicles"
6,G12,2,HPA005457,SEC31A,"Cytoplasm,Vesicles"
6,G2,1,HPA005544,MTA1,Nucleoplasm
6,G2,2,HPA005544,MTA1,Nucleoplasm
6,G3,1,HPA006504,MIS18BP1,"Nucleoli,Cytoplasm"
6,G3,2,HPA006504,MIS18BP1,"Nucleoli,Cytoplasm"
6,H10,1,HPA003215,OGFOD1,"Nucleus,Cytoplasm"
6,H10,2,HPA003215,OGFOD1,"Nucleus,Cytoplasm"
6,H2,1,HPA005546,DLGAP5,Cytoplasm
6,H2,2,HPA005546,DLGAP5,Cytoplasm
6,H4,1,HPA005696,CHADL,Mitochondria
6,H4,2,HPA005696,CHADL,Mitochondria
6,H6,1,HPA003033,SAGE1,Nucleoplasm
6,H6,2,HPA003033,SAGE1,Nucleoplasm
6,H7,1,HPA003473,PAGE1,"Nucleus,Cytoplasm,Nucleoli (Fibrillar center)"
6,H7,2,HPA003473,PAGE1,"Nucleus,Cytoplasm,Nucleoli (Fibrillar center)"
6,H8,1,HPA005647,DIAPH2,"Nucleoli,Golgi apparatus,Vesicles"
6,H8,2,HPA005647,DIAPH2,"Nucleoli,Golgi apparatus,Vesicles"
7,A1,1,HPA005480,SYVN1,"Endoplasmic reticulum,Nucleoplasm"
7,A1,2,HPA005480,SYVN1,"Endoplasmic reticulum,Nucleoplasm"
7,A11,1,HPA007126,ADNP2,"Cytoplasm,Mitochondria"
7,A11,2,HPA007126,ADNP2,"Cytoplasm,Mitochondria"
7,A2,1,HPA006287,USP20,"Nucleus,Plasma membrane,Cytoplasm"
7,A2,2,HPA006287,USP20,"Nucleus,Plasma membrane,Cytoplasm"
7,A4,1,HPA006988,ZMPSTE24,Cytoplasm
7,A4,2,HPA006988,ZMPSTE24,Cytoplasm
7,A5,1,HPA005900,PLAGL2,"Cytoplasm,Nuclear bodies"
7,A5,2,HPA005900,PLAGL2,"Cytoplasm,Nuclear bodies"
7,A6,1,HPA006144,ZNF18,"Cytoplasm,Golgi apparatus,Nucleoplasm"
7,A6,2,HPA006144,ZNF18,"Cytoplasm,Golgi apparatus,Nucleoplasm"
7,A8,1,HPA006429,TAF7,"Golgi apparatus,Nucleoplasm"
7,A8,2,HPA006429,TAF7,"Golgi apparatus,Nucleoplasm"
7,B1,1,HPA005684,SEC16A,"Cytoplasm,Golgi apparatus"
7,B1,2,HPA005684,SEC16A,"Cytoplasm,Golgi apparatus"
7,B10,1,HPA004194,SPPL3,"Plasma membrane,Vesicles"
7,B10,2,HPA004194,SPPL3,"Plasma membrane,Vesicles"
7,B11,1,HPA007128,NFRKB,Nucleus
7,B11,2,HPA007128,NFRKB,Nucleus
7,B12,1,HPA008066,CALD1,"Plasma membrane,Cytoskeleton (Actin filaments)"
7,B12,2,HPA008066,CALD1,"Plasma membrane,Cytoskeleton (Actin filaments)"
7,B3,1,HPA006756,USP5,"Cytoplasm,Nucleoplasm"
7,B3,2,HPA006756,USP5,"Cytoplasm,Nucleoplasm"
7,B4,1,HPA007222,USP2,Cytoplasm
7,B4,2,HPA007222,USP2,Cytoplasm
7,B5,1,HPA005909,TRIM25,"Cytoplasm,Nuclear bodies"
7,B5,2,HPA005909,TRIM25,"Cytoplasm,Nuclear bodies"
7,B6,1,HPA006159,SOX30,Cytoplasm
7,B6,2,HPA006159,SOX30,Cytoplasm
7,B7,1,HPA006294,LZTS1,"Nucleoli,Plasma membrane"
7,B7,2,HPA006294,LZTS1,"Nucleoli,Plasma membrane"
7,B8,1,HPA006474,TAF5,"Nucleus,Cytoskeleton (Actin filaments)"
7,B8,2,HPA006474,TAF5,"Nucleus,Cytoskeleton (Actin filaments)"
7,B9,1,HPA006759,GATAD2A,Nucleus
7,B9,2,HPA006759,GATAD2A,Nucleus
7,C1,1,HPA006312,"ISY1-RAB43,ISY1",Nucleoplasm
7,C1,2,HPA006312,"ISY1-RAB43,ISY1",Nucleoplasm
